structure,type,seas_adj,date,value
ks_i11_econ_hist_q,index,na,1981-10-01,-31.723785294946754
ks_i11_econ_hist_q,index,na,1982-01-01,-43.70594550629521
ks_i11_econ_hist_q,index,na,1982-04-01,-44.68806277995088
ks_i11_econ_hist_q,index,na,1982-07-01,-62.95310328768684
ks_i11_econ_hist_q,index,na,1982-10-01,-73.06043546634636
ks_i11_econ_hist_q,index,na,1983-01-01,-72.59877981024371
ks_i11_econ_hist_q,index,na,1983-04-01,-49.204724201423
ks_i11_econ_hist_q,index,na,1983-07-01,-47.597556423437794
ks_i11_econ_hist_q,index,na,1983-10-01,-32.830103350376056
ks_i11_econ_hist_q,index,na,1984-01-01,-31.946452525017854
ks_i11_econ_hist_q,index,na,1984-04-01,-28.229507469279913
ks_i11_econ_hist_q,index,na,1984-07-01,-15.073824902672603
ks_i11_econ_hist_q,index,na,1984-10-01,-4.0450573106753405
ks_i11_econ_hist_q,index,na,1985-01-01,-2.904263032659272
ks_i11_econ_hist_q,index,na,1985-04-01,2.0373645310014332
ks_i11_econ_hist_q,index,na,1985-07-01,5.487509739133088
ks_i11_econ_hist_q,index,na,1985-10-01,13.115505904042005
ks_i11_econ_hist_q,index,na,1986-01-01,22.203418830042178
ks_i11_econ_hist_q,index,na,1986-04-01,28.412365230462566
ks_i11_econ_hist_q,index,na,1986-07-01,22.120940824177076
ks_i11_econ_hist_q,index,na,1986-10-01,22.58440896393929
ks_i11_econ_hist_q,index,na,1987-01-01,16.40907836658407
ks_i11_econ_hist_q,index,na,1987-04-01,6.737753166591705
ks_i11_econ_hist_q,index,na,1987-07-01,11.642295889845919
ks_i11_econ_hist_q,index,na,1987-10-01,4.587509739133088
ks_i11_econ_hist_q,index,na,1988-01-01,-4.618809217737524
ks_i11_econ_hist_q,index,na,1988-04-01,-12.199378714878653
ks_i11_econ_hist_q,index,na,1988-07-01,8.857772129803642
ks_i11_econ_hist_q,index,na,1988-10-01,18.88828794924982
ks_i11_econ_hist_q,index,na,1989-01-01,35.50322683147101
ks_i11_econ_hist_q,index,na,1989-04-01,24.751385104274277
ks_i11_econ_hist_q,index,na,1989-07-01,9.39457653487365
ks_i11_econ_hist_q,index,na,1989-10-01,24.704004584493912
ks_i11_econ_hist_q,index,na,1990-01-01,-4.314292062668714
ks_i11_econ_hist_q,index,na,1990-04-01,-2.5124902608669117
ks_i11_econ_hist_q,index,na,1990-07-01,-9.405597153973805
ks_i11_econ_hist_q,index,na,1990-10-01,-47.861327470169236
ks_i11_econ_hist_q,index,na,1991-01-01,-52.611893839395734
ks_i11_econ_hist_q,index,na,1991-04-01,-56.68297605371751
ks_i11_econ_hist_q,index,na,1991-07-01,-72.08613367171962
ks_i11_econ_hist_q,index,na,1991-10-01,-94.69853677249482
ks_i11_econ_hist_q,index,na,1992-01-01,-108.26271487901604
ks_i11_econ_hist_q,index,na,1992-04-01,-103.45145739701714
ks_i11_econ_hist_q,index,na,1992-07-01,-108.62725978109269
ks_i11_econ_hist_q,index,na,1992-10-01,-117.2542742984256
ks_i11_econ_hist_q,index,na,1993-01-01,-104.84023700202148
ks_i11_econ_hist_q,index,na,1993-04-01,-105.81749498230222
ks_i11_econ_hist_q,index,na,1993-07-01,-101.75203398710266
ks_i11_econ_hist_q,index,na,1993-10-01,-88.91023885373747
ks_i11_econ_hist_q,index,na,1994-01-01,-67.49376366910661
ks_i11_econ_hist_q,index,na,1994-04-01,-33.369633118009766
ks_i11_econ_hist_q,index,na,1994-07-01,-18.486025232511523
ks_i11_econ_hist_q,index,na,1994-10-01,-9.88091131349849
ks_i11_econ_hist_q,index,na,1995-01-01,-18.959858681919545
ks_i11_econ_hist_q,index,na,1995-04-01,-13.048534623158965
ks_i11_econ_hist_q,index,na,1995-07-01,-30.399814204528884
ks_i11_econ_hist_q,index,na,1995-10-01,-32.24471556095925
ks_i11_econ_hist_q,index,na,1996-01-01,-57.30580600405072
ks_i11_econ_hist_q,index,na,1996-04-01,-79.29090399757992
ks_i11_econ_hist_q,index,na,1996-07-01,-88.24001574742854
ks_i11_econ_hist_q,index,na,1996-10-01,-86.91331670714791
ks_i11_econ_hist_q,index,na,1997-01-01,-90.79614904812283
ks_i11_econ_hist_q,index,na,1997-04-01,-77.46029819406107
ks_i11_econ_hist_q,index,na,1997-07-01,-56.26249026086691
ks_i11_econ_hist_q,index,na,1997-10-01,-22.973585361731466
ks_i11_econ_hist_q,index,na,1998-01-01,-36.09739592124427
ks_i11_econ_hist_q,index,na,1998-04-01,-9.017344629798952
ks_i11_econ_hist_q,index,na,1998-07-01,13.75997899173479
ks_i11_econ_hist_q,index,na,1998-10-01,1.916643597400805
ks_i11_econ_hist_q,index,na,1999-01-01,0.6789991008352159
ks_i11_econ_hist_q,index,na,1999-04-01,-5.631398642933188
ks_i11_econ_hist_q,index,na,1999-07-01,4.630366881990231
ks_i11_econ_hist_q,index,na,1999-10-01,20.1123873101419
ks_i11_econ_hist_q,index,na,2000-01-01,31.47765752238432
ks_i11_econ_hist_q,index,na,2000-04-01,38.989486023718065
ks_i11_econ_hist_q,index,na,2000-07-01,51.98942544794535
ks_i11_econ_hist_q,index,na,2000-10-01,49.26464710704856
ks_i11_econ_hist_q,index,na,2001-01-01,45.809657390139805
