Brand,Model,Preis,Jahr,Kilometer,PS,Getriebe
BMW,M4 Competition xDrive Cabrio,89900.00,06.2023,22000,510,Automatikgetriebe
BMW,X5 45e xDrive,65900.00,09.2021,61300,394,Automatikgetriebe
BMW,i5 M60 xDrive,81800.00,12.2023,10000,601,Automatikgetriebe
BMW,X5 M50d xDrive,77900.00,12.2020,29900,400,Automatikgetriebe
BMW,540i xDrive Touring,74900.00,12.2023,12000,344,Automatikgetriebe
BMW,M135i xDrive Steptronic,32800.00,03.2020,63900,306,Automatikgetriebe
BMW,X3 xDrive M40i Steptronic (CH),38900.00,03.2019,66000,360,Automatikgetriebe
BMW,X5 xDrive45e M Sport Steptronic (CH),47900.00,07.2021,89000,394,Automatikgetriebe
BMW,X6 M50i Steptronic (CH) + 3.5T AHK,64900.00,09.2021,48000,530,Automatikgetriebe
BMW,X3 xDrive 48V 20d M Sport Steptronic (CH),36900.00,05.2021,59000,190,Automatikgetriebe
BMW,750i xDrive Steptronic M-Sport (CH),29900.00,12.2015,114000,450,Automatikgetriebe
BMW,128ti Steptronic,33900.00,11.2021,40500,265,Automatikgetriebe
BMW,M440i xDrive 48V Gran Coupé Steptronic (CH),41900.00,02.2022,114000,374,Automatikgetriebe
BMW,330e xDrive Touring,35500.00,01.2023,35000,292,Automatikgetriebe
BMW,218d Active Tourer DKG,29500.00,11.2022,23500,150,Automatikgetriebe
BMW,X1 xDrive 23i 48V,49900.00,08.2023,17000,218,Automatikgetriebe
BMW,X4 M40i,75900.00,03.2024,8000,371,Automatikgetriebe
BMW,225xe Active Tourer,22990.00,08.2018,35800,224,Automatikgetriebe
BMW,225xe Active Tourer,26990.00,12.2020,29800,224,Automatikgetriebe
BMW,320d xDrive Touring Steptronic,,04.2020,181200,190,Automatikgetriebe
BMW,M3 Touring xDrive Competition M Frozen Black - Carbon Keramik,119800.00,09.2023,4100,510,Automatikgetriebe
BMW,218d xDrive Gran Tourer Steptronic *CH-FAHRZEUG / ANHÄNGERKUPPLUNG / 7 SITZE / SITZHEIZUNG*,24999.00,09.2022,64500,150,Automatikgetriebe
BMW,428i Cabriolet xDrive Steptronic,29900.00,03.2014,37750,245,Automatikgetriebe
BMW,X3 xDrive 30e M Sport,33900.00,09.2021,95800,292,Automatikgetriebe
BMW,M4 Coupé Competition M xDrive,,05.2024,7950,510,Automatikgetriebe
BMW,X5 40d xDrive SAG,135500.00,Neues Fahrzeug,10,352,Automatikgetriebe
BMW,120d xDrive M Sport,30900.00,08.2021,46700,190,Automatikgetriebe
BMW,X1 xDr23i 48V M Sport Pro,69900.00,12.2024,160,204,Automatikgetriebe
BMW,i3s (120Ah) Fleet Edition,23900.00,12.2020,12600,184,Automatikgetriebe
BMW,540d xDr 48V Tour M.S.Pro,100700.00,Neues Fahrzeug,1,303,Automatikgetriebe
BMW,X1 xDrive 20d M Sport,29900.00,03.2021,67000,190,Automatikgetriebe
BMW,M5 xDrive,162400.00,Neues Fahrzeug,1,585,Automatikgetriebe
BMW,M135i xDrive,29900.00,02.2020,91149,306,Automatikgetriebe
BMW,M240i xDrive M Sport Pro Steptronic,53900.00,12.2022,7700,374,Automatikgetriebe
BMW,iX1 eDrive 20 M Sport,52900.00,04.2025,1000,204,Automatikgetriebe
BMW,X5 xDrive 48V 30d M Sport Steptronic,57800.00,01.2022,55000,296,Automatikgetriebe
BMW,M340d xDrive M-Sport,68900.00,09.2023,6000,351,Automatikgetriebe
BMW,i7 xDrive60 M Sport Pro,99900.00,12.2022,8400,544,Automatikgetriebe
BMW,XM Plug-in Hybrid,125900.00,04.2023,27200,653,Automatikgetriebe
BMW,428i Gran Coupé xDrive Sport Line Steptronic,14990.00,10.2015,182600,245,Automatikgetriebe
BMW,X4 xDrive 30d Steptronic M-Paket,,12.2014,127070,258,Automatikgetriebe
BMW,Z4 M40i Steptronic,48800.00,05.2021,31600,340,Automatikgetriebe
BMW,X5 45e M Sport xDrive Steptronic Colour Ed. (35/50),,08.2021,65000,394,Automatikgetriebe
BMW,216i Gran Tourer M Sport,12990.00,11.2019,161500,109,Schaltgetriebe
BMW,530d xDrive Touring Luxury Line Steptronic,28990.00,12.2019,140950,265,Automatikgetriebe
BMW,X1 sDrive 18d,35900.00,07.2023,29900,150,Automatikgetriebe
BMW,X7 xDr 48 40d M Sport Pro,112900.00,02.2024,21400,340,Automatikgetriebe
BMW,X3 20d xDrive SAG,41900.00,03.2022,63300,201,Automatikgetriebe
BMW,M2 Steptronic,89900.00,Neues Fahrzeug,10,480,Automatikgetriebe
BMW,X5 xDrive45e M Sport Steptronic,52500.00,06.2021,65000,394,Automatikgetriebe
BMW,i3s (120Ah) Fleet Edition (CH),20900.00,06.2021,43000,184,Automatikgetriebe
BMW,X3 xDrive 30e M Sport,45900.00,12.2022,57000,292,Automatikgetriebe
BMW,120d xDrive Pure M Sport,35900.00,05.2024,26800,190,Automatikgetriebe
BMW,530d xDrive 48V Touring,45900.00,10.2023,42000,286,Automatikgetriebe
BMW,520d xDr 48VTour Pure M S,47900.00,12.2023,20000,190,Automatikgetriebe
BMW,M3 E46 CABRIO 3.2 343PS CH-FZ BBS ON TOP,31888.00,03.2003,128000,343,Automatikgetriebe
BMW,M3 Touring xDrive Competition M,91900.00,02.2024,8900,510,Automatikgetriebe
BMW,X6 xDrive 30d ***M-Sport-Packet *** CH-Fahrzeug,41900.00,08.2018,49000,258,Automatikgetriebe
BMW,M3 Competition M xDrive,87900.00,11.2022,21900,510,Automatikgetriebe
BMW,M3 Tour xDr Competition M,134900.00,Neues Fahrzeug,10,530,Automatikgetriebe
BMW,X5 xDrive 30d Steptronic- 7 PLÄTZER,37900.00,01.2018,75000,258,Automatikgetriebe
BMW,M340d xDRIVE 48V STEPTRONIC SPORT PLUS BLACK l 340 PS,48555.00,05.2021,47500,340,Automatikgetriebe
BMW,X5 xDrive 48V 30d M Sport Pro Steptronic,88900.00,12.2023,9500,286,Automatikgetriebe
BMW,X5 xDrive M50d Steptronic,34300.00,06.2017,128000,381,Automatikgetriebe
BMW,X5 XDRIVE M50d STEPTRONIC PLUS BLACK l 400 PS,72555.00,04.2020,32000,400,Automatikgetriebe
BMW,330e xDr Tour M Sport,51900.00,05.2024,22000,292,Automatikgetriebe
BMW,X2 xDrive 25e M Sport,32900.00,11.2022,46000,224,Automatikgetriebe
BMW,X1 xDrive 20d 48V M Sport,44900.00,01.2024,34000,149,Automatikgetriebe
BMW,X1 sDrive 18d,36900.00,07.2023,35000,150,Automatikgetriebe
BMW,118i Essential Edition,25900.00,04.2024,20000,136,Schaltgetriebe
BMW,X1 xDrive 23i 48V ///M Sport,52900.00,06.2024,20500,218,Automatikgetriebe
BMW,M240i xDrive,45900.00,07.2022,48000,374,Automatikgetriebe
BMW,X3 xDrive 30e ///M Sport,59900.00,06.2024,18500,292,Automatikgetriebe
BMW,330d xDrive Touring ///M Sport,58900.00,05.2024,36900,296,Automatikgetriebe
BMW,X5 xDrive45e M Sport Steptronic,64999.00,08.2022,42000,394,Automatikgetriebe
BMW,X5 xDrive 48V 30d Steptronic,47900.00,09.2020,112000,285,Automatikgetriebe
BMW,218d xDrive Active Tourer Steptronic Sport Line,28900.00,07.2021,21700,150,Automatikgetriebe
BMW,X1 xDrive 25d M Sport Steptronic,35900.00,07.2020,28800,231,Automatikgetriebe
BMW,X4 xDrive 20d M Sport X Steptronic,35990.00,03.2020,96050,190,Automatikgetriebe
BMW,X3 xDrive 30e M Sport,38900.00,06.2021,69000,292,Automatikgetriebe
BMW,X3 xDrive M50 48V M Sport Pro,89900.00,12.2024,4000,398,Automatikgetriebe
BMW,M240i xDrive Steptronic,27900.00,09.2019,99500,340,Automatikgetriebe
BMW,X7 xDrive 48V 40i Steptronic,49999.00,12.2021,65999,333,Automatikgetriebe
BMW,X5 xDrive 48V 30d Steptronic ** 285 PS ** Voll-Leder ** 7-Plätzer ** Gr-Navi ** RF-Kamera 360° ** ACC ** HUD ** MFK 23.04.2025,49900.00,10.2020,111000,285,Automatikgetriebe
BMW,"X3 xDrive 48V 20d xLine Steptronic ** CH-FHZ.** G-Navi ** RF-Kamera ** Leder ** 19"" Aluräder ** Ab MFK & Service **",27800.00,10.2020,85000,190,Automatikgetriebe
BMW,M135i xDrive,35900.00,09.2021,55000,306,Automatikgetriebe
BMW,123 xDrive,59300.00,Neues Fahrzeug,10,218,Automatikgetriebe
BMW,X4 xDrive 48V 20d M Sport Steptronic,69900.00,Neues Fahrzeug,10,190,Automatikgetriebe
BMW,X1 23d xDrive paddles,74100.00,Neues Fahrzeug,10,211,Automatikgetriebe
BMW,M135i xDrive Steptronic,37800.00,09.2021,47300,306,Automatikgetriebe
